Perovskite,Tolerance_factor_old,Tolerance_factor_new,Temperature_K,Growth_K,A_source,A_amount_mmol,B1_source,B1_amount_mmol,B2_source,B2_amount_mmol,X_source,X_amount_mmol,Phosphine,Phosphine_amount_mmol,Amine,Amine_amount_mmol,Carboxylic_acid,Carboxylic_acid_amount_mmol,Solvent_I,S_I_amount_mL,Solvent_II,S_II_amount_mL,Total_amount,Bandgap,Bandgap_from,Time_min,Diameter_nm,Diameter_from,DOI,Articles
Cs2NaInCl6,0.97,3.84,413,413,cesium_carbonate,0.30,sodium_acetate,0.30,indium_III_acetate,0.30,benzoyl_chloride,2.54,trioctylphosphine,0.67,oleylamine,1.52,oleic_acid,3.17,octadecene,10.00,0,0.00,10.00,4.20,tauc_plot,0.08,8.40,TEM,10.1021/acsami.1c10782,43
Cs2AgBiCl6,0.91,3.82,418,418,cesium_acetate,0.43,silver_acetate,0.30,bismuth_III_acetate,0.30,chlorotrimethylsilane,1.58,0,0.00,oleylamine,1.12,oleic_acid,5.39,octadecene,6.00,0,0.00,6.00,3.40,spectra,0.02,8.50,TEM,10.1021/acsami.9b02367,44
Cs2AgBiBr6,0.89,3.96,418,418,cesium_acetate,0.43,silver_acetate,0.30,bismuth_III_acetate,0.30,bromotrimethylsilane,1.52,0,0.00,oleylamine,1.12,oleic_acid,5.39,octadecene,6.00,0,0.00,6.00,2.91,spectra,0.02,8.40,TEM,10.1021/acsami.9b02367,44
Cs2AgInCl6,0.94,3.79,388,388,cesium_carbonate,0.25,silver_acetate,0.24,indium_III_acetate,0.25,benzoyl_chloride,1.72,0,0.00,oleylamine,0.50,oleic_acid,1.00,diphenyl_ether,4.50,0,0.00,4.50,3.40,spectra,0.17,14.60,TEM,10.1016/j.scib.2020.03.010,45
Cs2AgSbBr6,0.95,3.96,453,453,cesium_acetate,0.71,silver_acetate,0.50,antimony_III_acetate,0.50,bromotrimethylsilane,3.79,0,0.00,oleylamine,2.00,oleic_acid,7.92,octadecene,10.00,0,0.00,10.00,2.76,spectra,0.50,14.30,TEM,10.1002/anie.201811610,46
Cs2AgSbCl6,0.97,3.80,453,453,cesium_acetate,0.71,silver_acetate,0.50,antimony_III_acetate,0.50,chlorotrimethylsilane,3.96,0,0.00,oleylamine,2.00,oleic_acid,7.92,octadecene,10.00,0,0.00,10.00,3.40,spectra,0.50,9.10,TEM,10.1002/anie.201811610,46
Cs2AgBiCl6,0.91,3.82,413,413,cesium_acetate,0.71,silver_acetate,0.50,bismuth_III_acetate,0.50,chlorotrimethylsilane,2.70,0,0.00,oleylamine,1.87,oleic_acid,8.87,octadecene,10.00,0,0.00,10.00,3.40,spectra,0.17,11.80,TEM,10.1016/j.scib.2020.03.010,47
Cs2AgBiCl6,0.90,3.82,298,503,cesium_carbonate,0.08,silver_nitrate,0.20,bismuth_III_chloride,0.10,from_metal_salt,0.00,0,0.00,oleylamine,3.95,oleic_acid,3.17,octadecene,4.00,hydrochloric_acid,0.10,4.10,3.30,spectra,10.00,120.00,TEM,10.1021/acs.nanolett.0c04148,48
Cs4MnBi2Cl12,0.94,3.82,383,383,cesium_acetate,0.72,manganese_II_acetate,0.18,bismuth_III_acetate,0.36,chlorotrimethylsilane,2.16,0,0.00,oleylamine,2.13,oleic_acid,7.92,octadecene,10.00,0,0.00,10.00,3.73,spectra,1.00,17.50,TEM,10.1039/d2nr00565d,49
Cs2AgInCl6,0.94,3.79,443,453,cesium_acetate,0.71,silver_acetate,0.50,indium_III_acetate,0.50,chlorotrimethylsilane,2.70,0,0.00,oleylamine,2.01,oleic_acid,8.87,octadecene,10.00,0,0.00,10.00,4.90,spectra,8.00,12.80,TEM,10.1021/acs.nanolett.1c03527,50
